testType,structType,kVal,nVal,dVal,distribution,time
k,bucket,5,1000,2,G,735056
k,bucket,10,1000,2,G,735150
k,bucket,25,1000,2,G,731312
k,bucket,50,1000,2,G,794324
k,bucket,100,1000,2,G,771083
n,bucket,25,1000,2,G,77333
n,bucket,25,2000,2,G,323100
n,bucket,25,5000,2,G,2210837
n,bucket,25,10000,2,G,9934707
n,bucket,25,20000,2,G,44295493
d,bucket,25,1000,1,G,275899
d,bucket,25,1000,2,G,777650
d,bucket,25,1000,3,G,882473
d,bucket,25,1000,4,G,1099584
d,bucket,25,1000,5,G,1134592
d,bucket,25,1000,6,G,1140512
d,bucket,25,1000,7,G,1133243
kn,bucket,5,1000,2,G,76127
kn,bucket,10,2000,2,G,334705
kn,bucket,25,5000,2,G,2369832
kn,bucket,50,10000,2,G,10337841
kn,bucket,100,20000,2,G,43987235
k,bucket,5,1000,2,U,233358
k,bucket,10,1000,2,U,234529
k,bucket,25,1000,2,U,227093
k,bucket,50,1000,2,U,230723
k,bucket,100,1000,2,U,235228
n,bucket,25,1000,2,U,26555
n,bucket,25,2000,2,U,105887
n,bucket,25,5000,2,U,661826
n,bucket,25,10000,2,U,2652107
n,bucket,25,20000,2,U,11490362
d,bucket,25,1000,1,U,97170
d,bucket,25,1000,2,U,232885
d,bucket,25,1000,3,U,261545
d,bucket,25,1000,4,U,876852
d,bucket,25,1000,5,U,794654
d,bucket,25,1000,6,U,638184
d,bucket,25,1000,7,U,480420
kn,bucket,5,1000,2,U,21826
kn,bucket,10,2000,2,U,90864
kn,bucket,25,5000,2,U,660554
kn,bucket,50,10000,2,U,2619526
kn,bucket,100,20000,2,U,11523385
k,quad,5,1000,2,G,60340
k,quad,10,1000,2,G,66742
k,quad,25,1000,2,G,97676
k,quad,50,1000,2,G,119771
k,quad,100,1000,2,G,142408
n,quad,25,1000,2,G,10622
n,quad,25,2000,2,G,33431
n,quad,25,5000,2,G,171815
n,quad,25,10000,2,G,592848
n,quad,25,20000,2,G,2003561
kn,quad,5,1000,2,G,5722
kn,quad,10,2000,2,G,24053
kn,quad,25,5000,2,G,166498
kn,quad,50,10000,2,G,701048
kn,quad,100,20000,2,G,3038686
k,quad,5,1000,2,U,65364
k,quad,10,1000,2,U,94549
k,quad,25,1000,2,U,137941
k,quad,50,1000,2,U,196952
k,quad,100,1000,2,U,208080
n,quad,25,1000,2,U,12497
n,quad,25,2000,2,U,41600
n,quad,25,5000,2,U,229188
n,quad,25,10000,2,U,731249
n,quad,25,20000,2,U,2566641
kn,quad,5,1000,2,U,6428
kn,quad,10,2000,2,U,28765
kn,quad,25,5000,2,U,233583
kn,quad,50,10000,2,U,933198
kn,quad,100,20000,2,U,4293288
k,kd,5,1000,2,G,57533
k,kd,10,1000,2,G,97110
k,kd,25,1000,2,G,165221
k,kd,50,1000,2,G,229330
k,kd,100,1000,2,G,333964
n,kd,25,1000,2,G,16295
n,kd,25,2000,2,G,50752
n,kd,25,5000,2,G,215084
n,kd,25,10000,2,G,676651
n,kd,25,20000,2,G,1880959
kn,kd,5,1000,2,G,6244
kn,kd,10,2000,2,G,30800
kn,kd,25,5000,2,G,228941
kn,kd,50,10000,2,G,1077691
kn,kd,100,20000,2,G,4420547
d,kd,25,1000,1,G,130556
d,kd,25,1000,2,G,77782
d,kd,25,1000,3,G,61661
d,kd,25,1000,4,G,79991
d,kd,25,1000,5,G,89399
d,kd,25,1000,6,G,116738
d,kd,25,1000,7,G,135616
k,kd,5,1000,2,U,41070
k,kd,10,1000,2,U,65687
k,kd,25,1000,2,U,112626
k,kd,50,1000,2,U,175623
k,kd,100,1000,2,U,241442
n,kd,25,1000,2,U,9924
n,kd,25,2000,2,U,30351
n,kd,25,5000,2,U,165368
n,kd,25,10000,2,U,469494
n,kd,25,20000,2,U,1457996
kn,kd,5,1000,2,U,4426
kn,kd,10,2000,2,U,22527
kn,kd,25,5000,2,U,152842
kn,kd,50,10000,2,U,814629
kn,kd,100,20000,2,U,3144325
d,kd,25,1000,1,U,145141
d,kd,25,1000,2,U,77899
d,kd,25,1000,3,U,65387
d,kd,25,1000,4,U,78192
d,kd,25,1000,5,U,93769
d,kd,25,1000,6,U,110422
d,kd,25,1000,7,U,132954
